StationCode,Latitude,Longitude
UNBJAM,33.64869,-117.87579
UNBSDC,33.64134,-117.8885
UNBNSB,33.62441,-117.89275
UNBCHB,33.61691,-117.90516
LNBHIR,33.60822,-117.90446
LNBRIN,33.6116,-117.92747
LNBTUB,33.61835,-117.92563
HUNBCC,33.72809,-118.0721
HUNCRB,33.72215,-118.05721
HUNWAR,33.7127,-118.06038
TGDC05,33.70343,-118.0528
BBOLR,33.69572,-118.0462
TBTMAR,33.63667,-117.9633
B13-8290,33.64579,-117.8889
B13-8292,33.64579,-117.8889
BIGHT18-1155,33.62374695,-117.8922848
BIGHT18-1164,33.62096631,-117.8947269
BIGHT18-1171,33.63159164,-117.8865874
BIGHT18-1180,33.61821915,-117.9046339
BIGHT18-4543,33.71227661,-118.0538902
