StationCode,SubArea,Watershed,StationDescription,Latitude,Longitude,,,,,,,,,,,
CMCG02,Newport,Newport Bay,Costa Mesa Channel at Highland,33.62556,-117.90306,,,,,,,,,,,
SADF01,Newport,Newport Bay,Santa Ana Delhi Channel u/s Irvine Avenue,33.66055,-117.88028,,,,,,,,,,,
SDMF05,Newport,Newport Bay,San Diego Creek at Campus Drive,33.65555,-117.84556,,,,,,,,,,,
WYLSED,Newport,Newport Bay,San Diego Creek at Harvard Avenue,33.68639,-117.81639,,,,,,,,,,,
BARSED,Newport,Newport Bay,Peters Canyon Wash at Barranca Parkway,33.69167,-117.82305,,,,,,,,,,,
CICF25,Newport,Newport Bay,Central Irvine Channel at I-5,33.71639,-117.791,,,,,,,,,,,
HCWF27,Newport,Newport Bay,Hicks Canyon Wash u/s confluence of F06,33.7288,-117.77554,,,,,,,,,,,
SICG03,Newport,Newport Bay,Santa Isabella Channel d/s Irvine Ave,33.64778,-117.89171,,,,,,,,,,,
BCC02,North County,Anaheim Bay - Huntington Harbor,Bolsa Chica Channel at Westminster,33.75942,-118.04289,,,,,,,,,,,
EGWC05,North County,Anaheim Bay - Huntington Harbor,East Garden Grove Wintersburg Channel at Gothard,33.717483,-117.999328,,,,,,,,,,,
ABCC03,North County,Anaheim Bay - Huntington Harbor,Anaheim Barbor City Channel at Naval Railroad,33.75469,-118.03567,,,,,,,,,,,
WMCC04,North County,Anaheim Bay - Huntington Harbor,Westminster Channel u/s Beach Blvd,33.75202,-117.98926,,,,,,,,,,,
CCBA01,North County,San Gabriel River - Coyote Creek,Coyote Creek d/s Artesia Blvd.,33.871881,-118.021616,,,,,,,,,,,
FULA03,North County,San Gabriel River - Coyote Creek,Fullerton Creek at Highland Ave,33.862969,-117.932662,,,,,,,,,,,
CARB01,North County,San Gabriel River - Coyote Creek,Carbon Creek at Bloomfield,33.815,-118.0636,,,,,,,,,,,
LANF08,Newport,Newport Bay,Lane Channel,33.67778,-117.84389,,,,,,,,,,,
MIRF07,Newport,Newport Bay,El Modina Irvine,33.71972,-117.79889,,,,,,,,,,,
ACWF18,Newport,Newport Bay,Agua Chinon,33.65166,-117.75278,,,,,,,,,,,
BCF04,Newport,Newport Bay,Bonita Canyon,33.63972,-117.85806,,,,,,,,,,,
TBTD02,North County,Santa Ana River,Talbert Channel at Brookhurst,33.63667,-117.9633,,,,,,,,,,,
UGWC05,North County,Anaheim Bay - Huntington Harbor,Upper East Garden Grove Wintersburg Channel,33.786123,-117.902273,,,,,,,,,,,
FCVA03,North County,San Gabriel River - Coyote Creek,Fullerton Creek d/s Valley View Rd.,33.864024,-118.029436,,,,,,,,,,,
BREA02,North County,San Gabriel River - Coyote Creek,"Brea Creek at Rostrata Ave, Buena Park",33.878021,-118.005334,,,,,,,,,,,
CCSBA01,North County,San Gabriel River - Coyote Creek,"Coyote Creek at South Beach Blvd, La Habra",33.919281,-117.966181,,,,,,,,,,,
